date,WaterLevel,Discharge,EC@25C (µS/cm):F,Relative humidity in percentage %,Air Temperature in degrees C,Wind Speed along North in km/h,Wind Speed along East in km/h,WaterTemperature
01/01/2001 23:00,30.88,5895.05,172.0,45.5,25.85,15.30057824,8.262334781,25.3
01/01/2002 00:00,30.88,5895.05,256.8,37.0,22.9,5.435187961,-30.82448267,21.9
01/01/2002 01:00,30.88,5895.05,255.0,37.0,22.9,5.435187961,-30.82448267,21.75
01/01/2002 02:00,30.88,5895.05,255.0,37.0,22.9,5.435187961,-30.82448267,21.63333333
01/01/2002 03:00,30.88,5895.05,253.4,37.0,22.9,5.435187961,-30.82448267,21.5
01/01/2002 04:00,30.88,5895.05,253.4,37.0,22.9,5.435187961,-30.82448267,21.4
01/01/2002 05:00,30.88,5895.05,253.4,37.0,22.9,5.435187961,-30.82448267,21.3
01/01/2002 06:00,30.88,5895.05,253.4,37.0,22.9,5.435187961,-30.82448267,21.4
01/01/2002 07:00,30.88,5895.05,253.4,37.0,22.9,5.435187961,-30.82448267,21.525
01/01/2002 08:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.025
01/01/2002 09:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.075
01/01/2002 10:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.125
01/01/2002 11:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.25
01/01/2002 12:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.45
01/01/2002 13:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.8
01/01/2002 14:00,30.88,5895.05,253.3,37.0,22.9,5.435187961,-30.82448267,22.4
01/01/2002 15:00,30.88,5895.05,253.3,37.0,23.85,5.728837401,-35.1898514,22.4
01/01/2002 16:00,30.88,5895.05,253.3,32.0,23.9,6.754914111,-38.30902159,22.5
01/01/2002 17:00,30.88,5895.05,253.3,28.0,24.6,6.442347391,-36.53636764,22.225
01/01/2002 18:00,30.88,5895.05,253.3,26.0,24.2,-2.71759398,-33.06224133,22.05
01/01/2002 19:00,30.88,5895.05,253.3,33.0,23.55,-5.469917597,-31.02144422,21.9
01/01/2002 20:00,30.88,5895.05,253.3,34.0,21.6,-5.469917597,-31.02144422,21.8
01/01/2002 21:00,30.88,5895.05,253.3,35.0,20.45,-3.559787642,-20.18855894,21.75
01/01/2002 22:00,30.88,5895.05,253.3,37.5,19.6,-4.790702984,-16.91942674,21.75
01/01/2002 23:00,30.88,5895.05,253.3,46.0,18.55,-5.905985139,-22.34450615,21.65
01/01/2003 00:00,31.219,5895.05,112.0,64.0,16.7,-4.436330424,-16.85968008,25.0
01/01/2003 01:00,31.219,5895.05,112.0,66.5,15.7,-4.754079992,-13.06172743,24.95
01/01/2003 02:00,31.219,5895.05,112.0,74.5,14.55,-1.128713155,-11.10125039,24.9
01/01/2003 03:00,31.219,5895.05,112.0,83.0,13.5,-0.659863075,-8.442269461,24.9
01/01/2003 04:00,31.219,5895.05,112.0,84.0,13.1,0.972429795,-10.21492342,24.8
01/01/2003 05:00,31.219,5895.05,112.0,84.5,13.0,-1.94485959,-11.02984683,24.8
01/01/2003 06:00,31.219,5895.05,112.0,85.0,12.8,2.41370967,-13.68882777,24.8
01/01/2003 07:00,31.219,5895.05,112.0,82.5,13.1,0.816146435,-12.02859644,24.93333333
01/01/2003 08:00,31.219,5895.05,112.0,75.0,14.35,-4.431581833,-15.93274948,25.05
01/01/2003 09:00,31.208,5895.05,112.0,69.0,15.1,-6.652291788,-18.27702147,25.05
01/01/2003 10:00,31.208,5895.05,112.0,67.5,15.55,-7.746585319,-16.61260583,25.2
01/01/2003 11:00,31.208,5895.05,112.0,59.5,16.7,-6.960109917,-19.12274483,25.26666667
01/01/2003 12:00,31.208,5895.05,112.0,55.5,17.85,-6.722563235,-17.93699172,25.16666667
01/01/2003 13:00,31.208,5895.05,112.0,51.5,17.85,-7.354893821,-19.75046272,25.325
01/01/2003 14:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,25.3
01/01/2003 15:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,25.0
01/01/2003 16:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.95
01/01/2003 17:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.95
01/01/2003 18:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.85
01/01/2003 19:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.75
01/01/2003 20:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.65
01/01/2003 21:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.55
01/01/2003 22:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.5
01/01/2003 23:00,31.208,5895.05,112.0,40.5,21.55,-8.467968344,-8.578899495,24.4
01/01/2004 00:00,31.024,5895.05,170.35,29.0,29.95,-12.80250079,-2.25742631,27.0
01/01/2004 01:00,31.02825,5895.05,169.6,29.0,27.95,-21.23060645,-1.936177181,26.85
01/01/2004 02:00,31.02633333,5895.05,168.35,32.5,25.5,-19.1545108,-3.377457056,26.75
01/01/2004 03:00,31.02433333,5895.05,168.6,36.0,23.8,-17.23413568,-3.038843109,26.65
01/01/2004 04:00,31.02433333,5895.05,166.85,41.5,22.45,-14.57515474,-2.569993029,26.65
01/01/2004 05:00,31.02525,5895.05,167.85,44.5,21.4,-11.66352907,-3.044025957,26.6
01/01/2004 06:00,31.025,5895.05,167.35,47.5,20.55,-9.045151757,-2.423641109,26.6
01/01/2004 07:00,31.02933333,5895.05,166.2666667,48.5,20.6,-9.678833994,-3.522807476,26.73333333
01/01/2004 08:00,31.02425,5895.05,163.85,46.0,21.55,-11.37028071,-4.138443734,27.0
01/01/2004 09:00,31.0235,5895.05,170.1,40.0,23.25,-15.58757737,-1.284996515,27.3
01/01/2004 10:00,31.02375,5895.05,166.6,31.5,25.1,-16.47390435,-1.441279875,27.45
01/01/2004 11:00,31.019,5895.05,162.1,25.0,27.1,-15.57390435,1.441279875,27.56666667
01/01/2004 12:00,31.02325,5895.05,161.35,21.0,29.4,-14.35372539,-2.530949061,27.76666667
01/01/2004 13:00,31.026,5895.05,162.35,19.5,31.05,-15.12762974,-3.972228935,27.75
01/01/2004 14:00,31.03025,5895.05,167.6,17.5,32.7,-12.60800204,-2.223130932,27.63333333
01/01/2004 15:00,31.02675,5895.05,166.6,15.0,34.2,-12.50925243,-1.094417777,27.775
01/01/2004 16:00,31.029,5895.05,165.85,14.5,35.4,-16.04517211,-3.146585319,27.75
01/01/2004 17:00,31.031,5895.05,167.85,16.5,35.6,-16.3478087,2.882559749,27.6
01/01/2004 18:00,31.0345,5895.05,168.1,16.0,35.9,-12.01492342,0.972429795,27.6
01/01/2004 19:00,31.03566667,5895.05,170.1,16.0,35.45,-13.68882777,-2.41370967,27.55
01/01/2004 20:00,31.0395,5895.05,169.9333333,19.0,34.1,-11.02984683,-1.94485959,27.55
01/01/2004 21:00,31.04225,5895.05,173.2666667,28.5,30.75,-5.6,6.86e-16,27.45
01/01/2004 22:00,31.044,5895.05,169.6,31.0,28.75,-9.328596439,-0.816146435,27.4
01/01/2004 23:00,31.04433333,5895.05,167.35,36.0,26.85,-8.370865901,-0.15628336,27.26666667
01/01/2005 00:00,31.02475,5895.05,109.7,19.0,27.5,-12.9167425,-4.534996515,24.5
01/01/2005 01:00,31.024,5895.05,110.2,21.5,27.45,-14.57515474,-2.569993029,24.45
01/01/2005 02:00,31.023,5895.05,111.95,23.5,26.4,-12.80250079,-2.25742631,24.4
01/01/2005 03:00,31.02275,5895.05,112.7,27.5,24.85,-9.314923417,-0.972429795,24.375
01/01/2005 04:00,31.02275,5895.05,112.7,27.5,24.0,-9.699484522,-5.6,24.3
01/01/2005 05:00,31.023,5895.05,112.2,30.5,23.2,-7.67072828,-5.371101766,24.3
01/01/2005 06:00,31.0225,5895.05,112.7,34.0,22.55,-6.870319398,-7.199742261,24.3
01/01/2005 07:00,31.0205,5895.05,112.75,37.0,22.35,-6.870319398,-7.199742261,24.4
01/01/2005 08:00,31.02,5895.05,111.8,37.5,23.4,-12.81717598,-7.4,24.525
01/01/2005 09:00,31.01575,5895.05,111.3,34.0,25.3,-13.35497579,-3.659662215,24.9
01/01/2005 10:00,31.013,5895.05,111.05,26.5,29.0,-13.35497579,-1.402235906,25.125
01/01/2005 11:00,31.004,5895.05,112.55,19.0,31.5,-12.88757737,-1.284996515,25.225
01/01/2005 12:00,31.00425,5895.05,113.05,18.5,32.0,-16.85968008,-1.241203955,25.1
01/01/2005 13:00,31.007,5895.05,113.55,20.0,32.1,-16.06477124,-9.275,25.0
01/01/2005 14:00,30.9995,5895.05,114.8,21.5,31.7,-16.85968008,-4.436330424,25.0
01/01/2005 15:00,30.9985,5895.05,112.55,23.0,31.05,-17.29034422,-6.293170637,25.075
01/01/2005 16:00,30.99,5895.05,114.8,23.5,31.85,-17.02766504,-6.197563235,25.025
01/01/2005 17:00,30.9875,5895.05,114.05,23.0,32.55,-15.9733531,-4.280047064,24.925
01/01/2005 18:00,30.98675,5895.05,114.3,25.0,31.6,-14.32560259,-9.93513716,24.925
01/01/2005 19:00,30.98475,5895.05,113.8,29.5,29.9,-19.12274483,-6.960109917,24.9
01/01/2005 20:00,30.98325,5895.05,115.3,30.0,28.7,-14.24130277,-3.815945575,24.825
01/01/2005 21:00,30.97825,5895.05,116.3,25.5,27.4,-16.48757737,-1.284996515,24.725
01/01/2005 22:00,30.976,5895.05,116.3,25.5,26.2,-9.257192878,1.63229287,24.675
01/01/2005 23:00,30.974,5895.05,116.05,25.0,24.8,-8.833110635,-3.214989347,24.6
01/01/2006 00:00,30.859,5895.05,144.15,24.0,35.3,11.67086666,-5.615312803,26.8
01/01/2006 01:00,30.856,5895.05,143.65,26.5,34.35,11.67086666,-5.615312803,26.8
01/01/2006 02:00,30.856,5895.05,141.65,27.0,33.45,12.90125039,-1.128713155,26.7
01/01/2006 03:00,30.857,5895.05,140.4,27.0,32.8,14.57515474,-2.569993029,26.7
01/01/2006 04:00,30.85975,5895.05,141.15,28.5,32.15,13.68882777,-2.41370967,26.675
01/01/2006 05:00,30.861,5895.05,143.65,32.0,31.6,-2.673130932,-6.887424899,26.6
01/01/2006 06:00,30.86425,5895.05,140.65,38.5,28.15,-1.299676545,-3.570831959,26.55
01/01/2006 07:00,30.863,5895.05,139.4,37.0,28.9,-9.228775739,-7.539848881,26.85
01/01/2006 08:00,30.862,5895.05,142.4,36.0,29.6,-13.36231338,-6.230949061,27.225
01/01/2006 09:00,30.8605,5895.05,145.4,31.0,31.5,-17.73188407,-7.821342727,27.575
01/01/2006 10:00,30.86075,5895.05,145.4,33.0,33.0,-18.27702147,-6.652291788,28.075
01/01/2006 11:00,30.8585,5895.05,146.4,36.0,33.25,-20.09178937,-11.6,28.425
01/01/2006 12:00,30.86125,5895.05,145.9,33.5,34.65,-16.8441941,-9.725,28.6
01/01/2006 13:00,30.861,5895.05,143.65,32.5,35.45,-13.75565485,-16.39335108,28.85
01/01/2006 14:00,30.8585,5895.05,146.075,33.5,35.4,-10.45416086,-22.60462555,28.7
01/01/2006 15:00,30.862,5895.05,146.05,33.5,35.05,-22.43005796,-12.95,28.475
01/01/2006 16:00,30.85975,5895.05,145.8,38.0,33.05,-25.07549514,-11.51979711,28.025
01/01/2006 17:00,30.8615,5895.05,146.3,44.0,29.45,-31.99781609,-8.75424951,27.7
01/01/2006 18:00,30.85825,5895.05,146.8,51.0,26.2,-25.07549514,-11.51979711,27.5
01/01/2006 19:00,30.85575,5895.05,147.8,63.0,24.55,-21.49878279,-5.59816701,27.3
01/01/2006 20:00,30.8525,5895.05,148.8,69.5,23.55,-21.6926017,-10.2885246,27.075
01/01/2006 21:00,30.85625,5895.05,149.05,73.0,22.3,-20.10942208,-7.319231067,26.875
01/01/2006 22:00,30.85575,5895.05,148.05,76.5,20.85,-18.26023133,1.597563235,26.7
01/01/2006 23:00,30.85825,5895.05,146.3,75.0,20.4,-20.18060645,1.936177181,26.7
01/01/2007 00:00,30.85425,5895.05,106.65,65.0,22.05,-14.21469072,14.45504155,23.525
01/01/2007 01:00,30.852,5895.05,107.65,75.0,20.75,-4.028637722,22.84753987,23.4
01/01/2007 02:00,30.854,5895.05,108.15,82.5,19.5,-1.597563235,21.11023133,23.3
01/01/2007 03:00,30.8565,5895.05,104.15,82.5,19.15,-3.872354362,21.96121289,23.2
01/01/2007 04:00,30.85975,5895.05,100.9,84.5,19.15,-6.358168878,11.83513716,23.1
01/01/2007 05:00,30.86225,5895.05,98.65,74.0,20.1,16.64819909,19.84055108,23.1
01/01/2007 06:00,30.864,5895.05,99.15,72.5,20.1,13.08072786,15.58900442,23.05
01/01/2007 07:00,30.87225,5895.05,99.4,69.0,20.15,12.163573,17.50813879,23.0
01/01/2007 08:00,30.8755,5895.05,101.4,75.5,19.45,10.58435789,17.03028429,23.0
01/01/2007 09:00,30.882,5895.05,102.15,77.5,19.75,7.851955542,11.288573,23.175
01/01/2007 10:00,30.8835,5895.05,102.625,74.0,20.8,-0.077731028,2.229351947,23.875
01/01/2007 11:00,30.885,5895.05,104.8,63.5,22.7,9.653725394,-2.530949061,24.425
01/01/2007 12:00,30.88225,5895.05,106.8,52.0,24.35,13.15561091,-8.136776941,24.575
01/01/2007 13:00,30.8795,5895.05,109.8,46.5,25.0,12.45028953,6.065312803,24.775
01/01/2007 14:00,30.882,5895.05,111.3,46.5,25.45,9.303725394,6.601268458,24.75
01/01/2007 15:00,30.88725,5895.05,112.8,41.5,27.05,6.293450329,8.458002035,24.725
01/01/2007 16:00,30.88525,5895.05,114.05,37.5,28.15,-9.807284588,8.22928888,24.625
01/01/2007 17:00,30.892,5895.05,114.8,34.0,29.1,-7.81805607,11.97756822,24.35
01/01/2007 18:00,30.889,5895.05,122.55,33.0,29.05,-9.735917192,9.846848342,24.2
01/01/2007 19:00,30.89375,5895.05,127.3,35.0,28.95,0.786599648,11.66352907,24.05
01/01/2007 20:00,30.8965,5895.05,122.05,40.5,27.55,-2.35,9.670319398,23.825
01/01/2007 21:00,30.90125,5895.05,122.55,61.5,23.9,1.128713155,18.45125039,23.8
01/01/2007 22:00,30.90375,5895.05,121.8,64.5,23.6,-1.284996515,12.88757737,23.7
01/01/2007 23:00,30.906,5895.05,122.05,63.0,23.15,-1.441279875,14.67390435,23.6
01/01/2008 00:00,30.79983333,5895.05,105.85,13.5,31.45,11.80423719,11.58237489,26.98333333
01/01/2008 01:00,30.80133333,5895.05,103.2,14.5,29.9,12.07731687,8.456628312,26.85
01/01/2008 02:00,30.8025,5895.05,101.6166667,17.5,27.8,11.987334,8.58513716,26.66666667
01/01/2008 03:00,30.8055,5895.05,101.1,13.0,29.25,17.48321499,11.93864601,26.58333333
01/01/2008 04:00,30.81183333,5895.05,100.9333333,12.5,29.0,22.84753987,4.028637722,26.5
01/01/2008 05:00,30.81216667,5895.05,99.16666667,16.0,28.55,17.80575371,4.946986344,26.41666667
01/01/2008 06:00,30.81183333,5895.05,99.68,16.5,28.65,18.26818382,3.221173696,26.43333333
01/01/2008 07:00,30.813,5895.05,100.2166667,18.0,28.25,16.04517211,3.146585319,26.75
01/01/2008 08:00,30.81283333,5895.05,100.72,17.0,29.15,14.57515474,-2.569993029,27.21666667
01/01/2008 09:00,30.81916667,5895.05,101.3166667,16.5,31.65,20.18060645,-1.936177181,27.65
01/01/2008 10:00,30.81683333,5895.05,104.9333333,15.5,34.3,23.73386685,-4.184921082,28.21666667
01/01/2008 11:00,30.81816667,5895.05,106.35,11.5,36.3,19.12274483,-6.960109917,28.4
01/01/2008 12:00,30.82033333,5895.05,108.35,9.5,37.1,20.78184936,-3.505706469,28.76666667
01/01/2008 13:00,30.818,5895.05,114.3,9.0,38.0,20.57185219,-2.033630777,28.95
01/01/2008 14:00,30.812,5895.05,111.2166667,9.0,39.25,13.90997359,-4.397563235,28.83333333
01/01/2008 15:00,30.8155,5895.05,107.95,9.0,40.05,10.98853548,0.999591117,28.78333333
01/01/2008 16:00,30.8146,5895.05,107.5,9.5,40.0,7.250449963,1.095890201,28.51666667
01/01/2008 17:00,30.8116,5895.05,107.15,7.0,40.6,-8.918445321,4.415757049,27.98333333
01/01/2008 18:00,30.8126,5895.05,104.2833333,8.5,40.35,-2.236326978,2.18198523,27.6
01/01/2008 19:00,30.81433333,5895.05,103.2,10.0,40.15,-1.357931712,1.139439999,27.33333333
01/01/2008 20:00,30.8145,5895.05,106.5333333,11.5,39.25,-2.33826859,1.35,27.25
01/01/2008 21:00,30.81433333,5895.05,104.5166667,24.5,34.8,0.0,0.0,27.21666667
01/01/2008 22:00,30.81483333,5895.05,104.7333333,29.0,31.4,5.639151955,4.882111865,27.26666667
01/01/2008 23:00,30.8158,5895.05,104.3666667,21.5,31.1,9.046477193,9.268339493,27.16666667
01/01/2009 00:00,30.933,5895.05,133.85,38.0,21.45,-13.90745079,-5.061898121,24.68333333
01/01/2009 01:00,30.93866667,5895.05,133.85,43.0,19.9,-10.8914438,-5.165312803,24.61666667
01/01/2009 02:00,30.931,5895.05,133.85,48.5,18.35,-11.91617381,-2.10114295,24.58333333
01/01/2009 03:00,30.9214,5895.05,133.85,56.0,16.85,-6.770319398,-2.35,24.5
01/01/2009 04:00,30.913,5895.05,133.85,59.5,15.9,-11.02404479,-4.880949061,24.41666667
01/01/2009 05:00,30.93783333,5895.05,133.85,66.0,15.3,-8.920061659,-5.15,24.38333333
01/01/2009 06:00,30.923,5895.05,133.85,72.0,14.05,-3.8,-6.581793069,24.41666667
01/01/2009 07:00,30.943,5895.05,133.85,72.0,14.8,-2.907171218,-7.987387277,24.63333333
01/01/2009 08:00,30.92816667,5895.05,133.85,62.5,17.0,-10.64721949,-10.20349489,25.03333333
01/01/2009 09:00,30.936,5895.05,133.85,52.0,18.95,-11.93316888,-14.99132041,25.3
01/01/2009 10:00,30.94083333,5895.05,133.85,48.5,19.9,-10.7,-18.53294364,25.5
01/01/2009 11:00,30.91683333,5895.05,133.85,42.0,21.6,-6.652291788,-18.27702147,25.81666667
01/01/2009 12:00,30.92983333,5895.05,133.85,38.5,22.85,-7.627049196,-20.95514544,26.06666667
01/01/2009 13:00,30.9465,5895.05,133.85,32.5,24.75,-7.746585319,-16.61260583,26.13333333
01/01/2009 14:00,30.91983333,5895.05,133.85,29.5,25.55,-15.72940639,-11.31708185,25.93333333
01/01/2009 15:00,30.93783333,5895.05,133.85,23.5,26.35,-15.44689471,-16.48608334,25.8
01/01/2009 16:00,30.943,5895.05,133.85,24.0,26.85,-9.76376719,-19.79390059,25.65
01/01/2009 17:00,30.95133333,5895.05,133.85,24.0,26.45,-17.80521679,-21.21943107,25.16666667
01/01/2009 18:00,30.95266667,5895.05,133.85,20.0,26.3,-18.82288393,-18.93381508,24.95
01/01/2009 19:00,30.9495,5895.05,133.85,22.0,25.65,-20.09178937,-11.6,24.83333333
01/01/2009 20:00,30.95233333,5895.05,133.85,23.5,23.7,-20.87121223,-12.05,24.71666667
01/01/2009 21:00,30.95366667,5895.05,133.85,27.5,21.45,-19.5521249,-11.82980601,24.6
01/01/2009 22:00,30.953,5895.05,133.85,31.0,19.55,-18.53294364,-10.7,24.38333333
01/01/2009 23:00,30.94816667,5895.05,133.85,33.0,17.85,-22.84753987,-4.028637722,24.2
01/01/2010 00:00,31.04275,5895.05,173.0,61.0,28.0,24.47247266,4.315157215,26.8
01/01/2010 01:00,31.0425,5895.05,173.0,77.5,25.35,6.680949061,14.14173625,26.8
01/01/2010 02:00,31.044,5895.05,173.0,72.5,25.25,19.67757272,3.813524598,26.7
01/01/2010 03:00,31.0405,5895.05,172.3333333,70.0,25.0,20.5,-5.02e-15,26.7
01/01/2010 04:00,31.04233333,5895.05,173.0,73.0,24.2,16.65125039,1.128713155,26.7
01/01/2010 05:00,31.0435,5895.05,172.5,82.0,22.8,11.37028071,4.138443734,26.6
01/01/2010 06:00,31.0515,5895.05,173.0,80.5,22.75,9.199610614,-4.289848881,26.675
01/01/2010 07:00,31.0445,5895.05,176.3333333,78.5,22.5,5.15,-8.920061659,26.95
01/01/2010 08:00,31.04575,5895.05,175.75,75.5,23.25,2.35,-9.670319398,27.3
01/01/2010 09:00,31.0485,5895.05,179.5,67.5,25.05,4.446261863,-12.21600407,27.625
01/01/2010 10:00,31.0515,5895.05,181.3333333,62.0,26.75,9.585242815,-3.322429795,27.9
01/01/2010 11:00,31.051,5895.05,182.75,51.5,28.85,11.47928888,-4.178119463,28.025
01/01/2010 12:00,31.04775,5895.05,185.0,42.5,31.05,13.23835079,-6.576852115,28.225
01/01/2010 13:00,31.05225,5895.05,186.0,36.5,33.5,4.446261863,-12.21600407,28.275
01/01/2010 14:00,31.04825,5895.05,186.0,33.5,34.5,4.97928888,-9.778119463,28.25
01/01/2010 15:00,31.0535,5895.05,186.0,29.5,35.95,11.713573,-16.72871593,28.225
01/01/2010 16:00,31.0525,5895.05,186.5,29.5,36.55,6.581036651,-8.459311828,28.175
01/01/2010 17:00,31.055,5895.05,186.5,27.5,36.75,3.049406308,-11.38053927,28.0
01/01/2010 18:00,31.0585,5895.05,186.6666667,28.5,36.05,-3.200309317,-12.54985605,27.95
01/01/2010 19:00,31.05675,5895.05,187.0,33.0,35.0,-2.569993029,-14.57515474,27.9
01/01/2010 20:00,31.06025,5895.05,183.5,37.0,33.7,-6.344473659,-17.43129812,27.75
01/01/2010 21:00,31.084,5895.05,183.75,38.0,33.3,-8.3,-14.3760217,27.525
01/01/2010 22:00,31.08075,5895.05,183.5,86.0,23.1,2.25742631,-12.80250079,27.5
01/01/2010 23:00,31.075,5895.05,187.0,83.5,23.05,-8.918445321,-2.783464179,27.4
01/01/2011 00:00,31.63933333,5895.05,184.0,31.0,32.05,-3.146585319,-21.59517211,25.7
01/01/2011 01:00,31.63933333,5895.05,184.0,22.5,34.0,15.65040888,-3.021101766,25.7
01/01/2011 02:00,31.63933333,5895.05,184.0,31.0,32.25,3.161135727,-10.00086101,25.7
01/01/2011 03:00,31.63933333,5895.05,184.0,53.0,27.8,4.085526546,-2.001999401,25.7
01/01/2011 04:00,31.63933333,5895.05,184.0,56.5,26.55,-0.104324327,-1.560968884,25.7
01/01/2011 05:00,31.63933333,5895.05,184.0,41.5,26.1,-12.21600407,-4.446261863,25.7
01/01/2011 06:00,31.63933333,5895.05,184.0,45.0,24.0,-13.06872888,-4.756628312,25.7
01/01/2011 07:00,31.63933333,5895.05,184.0,59.5,22.3,-8.450151144,5.821101766,25.7
01/01/2011 08:00,31.63933333,5895.05,184.0,68.0,21.6,-3.38e-15,-18.4,25.7
01/01/2011 09:00,31.63933333,5895.05,184.0,62.0,22.4,-19.12274483,-6.960109917,25.7
01/01/2011 10:00,31.63933333,5895.05,184.0,45.0,25.2,-20.18855894,-3.559787642,25.7
